,date_commenced,claim,verdict
136,2012-10-22,believe want make sure relationship friendship people take place step year come see syria friend syria responsible party middle east,1
137,2008-10-07,fine,1
138,1992-10-19,story today yesterday washington post economic program chief budget officer chief economic officer african american even though post mention think sign progress,0
139,2012-10-22,started build afghan force,0
140,1988-09-25,want see bank let hook,1
141,1980-10-28,listening voice make judgment future country,1
142,2000-10-03,want focus result,1
143,2012-10-16,built world greatest middle class,1
144,2000-10-03,fact last year congress faced lot opposition,1
145,2004-10-08,argued fully funded,0
146,2004-09-30,happened long arrived washington c,0
147,1988-09-25,think one thing mr bush said mr reagan back,0
148,2004-09-30,well know talked billion made mistake talk war,0
149,2016-09-26,doubt problem iran,0
150,1992-10-19,grew block arkansas,0
151,2012-10-16,five million job even keep population growth,0
152,1996-10-06,thank goodness republican congress,0
153,1976-10-06,governor carter talking broad generality,0
154,2000-10-11,friend phyllis hunter,0
155,1976-10-06,time make certain soviet union backfire claim intercontinental aircraft people contend must also included get kind agreement best interest country,1
156,2008-09-26,general petraeus invited senator lindsey graham attend ceremony brave young american whose enlistment expired reenlisting stay fight iraqi freedom american freedom,0
157,2012-10-22,exactly going,1
158,1980-10-28,h l mencken said every problem simple answer,1
159,2012-10-03,want cost job,1
160,2008-10-15,balance budget,1
161,2004-10-08,got sneak peek search allowed,0
162,2000-10-17,believe future nation depends upon whether break barrier used pit group group bring people together,1
163,1980-10-28,inflation people living well,1
164,1992-10-11,well better,1
165,1988-09-25,integrity stability get job done fellow american man ask support,1
166,1976-10-06,tough cross examination type press conference thirty day,0
167,1960-10-07,believe election trying determine lead free world america perhaps senator kennedy already indicated important election history label wear wear count,0
168,2008-09-26,pulled nonproliferation agreement,0
169,2000-10-03,year old high blood pressure wife heart trouble,0
170,2012-10-22,latin america huge opportunity u time zone language opportunity,1
171,1996-10-06,inspection,0
172,2008-09-26,series recommendation recall,0
173,2012-10-16,came small business,0
174,1980-09-21,spoke multitude tongue,0
175,1996-10-16,average person benefitting,0
176,1960-09-26,mr nixon come republican party,0
177,1992-10-11,honor service world war ii honor mr perot service uniform service every man woman ever served including admiral crowe chairman joint chief supporting,0
178,1984-10-07,trying provide leadership election american people participate decision,1
179,2016-10-19,free fair election,0
180,1976-10-22,always agree decision whether democratic republican president,0
181,1960-10-07,mr morgan suggested united state felt could save summit conference would proper u expressed regret,0
182,2012-10-16,named amazing woman job man year found getting paid le supreme court said bring suit found earlier whereas way finding,0
183,1992-10-11,therein best answer,1
184,2016-09-26,happen think double,1
185,2000-10-17,tipper good friend mel randy know u want extend sympathy condolence jean family sifford family,0
186,2012-10-16,never got college education even though smart whip,0
187,1992-10-19,heard gov clinton congratulate u thing first time said something pleasant administration,0
188,1992-10-11,convert potato chip airplane emergency,1
189,1960-10-21,arm parley winston churchill said ten year ago,0
190,2008-10-07,let community health center,1
191,1960-10-21,threatens freedom world,1
192,1976-10-06,believe ought,1
193,2004-09-30,also laid strict series thing needed order proceed position strength,0
194,2008-09-26,muddle stamping taliban,1
195,2012-10-16,problem china,1
196,2000-10-11,could get agreement maybe could pas final day congress,1
197,1984-10-21,stake space satellite,1
198,2000-10-03,guy served u lunch gave letter today,0
199,2004-09-30,tell day went war started principally united state america great britain one two others,1
200,2016-10-19,looking anything,0
201,2004-10-13,result president taking eye osama bin laden,1
202,2008-10-15,fact gotten pretty tough,1
203,2004-10-13,view service back door draft,0
204,2012-10-03,time end,1
205,2012-10-03,part way give tax break company shipping job overseas,1
206,2004-10-08,went new york,0
207,2000-10-03,say voluntary testing,0
208,1996-10-16,hit ground cell phone rang trial lawyer said think got case,0
209,2016-10-09,even know rebel,0
210,2004-10-13,came washington solve problem,0
211,1996-10-06,think look result know plan laid future good chance enacted give chance build bridge st century,1
212,1992-10-15,tell affected,1
213,2012-10-16,virtually virtually impossible given regulation,1
214,2004-10-13,result securing ridding taliban afghanistan afghan people election weekend,0
215,2012-10-03,despite said yes take initial emergency measure make sure slip great depression also said let make sure cutting thing helping u grow,0
216,2012-10-22,convince international community pursuing nuclear program,0
217,1960-10-07,wrong something,1
218,1960-10-13,one thing noted traveled around country tremendous number child come see presidential candidate,0
219,1992-10-19,forthcoming,1
220,2012-10-16,fact employer looking skilled worker,1
221,2004-10-13,education make sure got workforce productive competitive,1
222,2004-09-30,secondly think another round resolution would caused saddam hussein disarm disclose ludicrous judgment,1
223,1992-10-19,well believe town hall meeting started campaign new hampshire,0
224,1976-10-06,successful portugal year ago looked like great possibility uh communist would take portugal,0
225,1976-10-06,naval academy first military graduate since uh eisenhower,0
226,2000-10-03,public service year jim,0
227,2004-10-08,country,0
228,1960-10-07,leaf hundred mile sea,0
229,2016-09-26,bring excuse,1
230,2012-10-03,never balance budget raising tax,1
231,2000-10-03,incidentally know value making sure troop latest technology,1
232,2016-09-26,tell fight isi website,0
233,2008-10-15,lot people including said look,0
234,2012-10-16,said e verify portion arizona law portion law say employer could able determine whether someone illegally illegally model nation,0
235,2016-10-09,really owe apology,1
236,2008-10-15,respect acorn acorn community organization,0
237,2004-10-08,talking plan keep job,0
238,1976-10-06,karl marx said free enterprise system democracy continue exist war preparing far war,0
239,1976-10-06,uh look picture bleakly indicated question mr trewhitt,1
240,2004-10-13,said cut pell grant,0
241,2016-10-09,,1
242,2016-10-09,believe saying guess politician,1
243,2008-09-26,doubt going able everything think need done,1
244,1996-10-16,tax credit employer,0
245,2016-09-26,new york new york done excellent job,1
246,2004-10-08,happen ask one thing join rolling back president unaffordable tax cut people earning year,1
247,1980-10-28,said man size misery index right seek reelection presidency,0
248,1992-10-19,went way obvious complete disagreement done company,0
249,2000-10-17,support national patient bill right,1
250,1992-10-15,program includes crime find kind great plan lying around never get enacted law implemented,0
251,1984-10-21,groucho marx said believe,0
252,1988-10-13,fine research top doctor national institute health working hard something research disease aid,0
253,2004-09-30,think need president credibility bring ally back table necessary make america alone,1
254,2012-10-16,got three part time job,0
255,1996-10-06,know president reminds sometimes brother kenny longer alive,0
256,2016-09-26,independent hacking group mostly commercial reason try steal information use make money,0
257,2016-10-19,never get anything done naturally wall built,1
258,1992-10-15,feel think right kind campaign reform get change want,1
259,1960-10-13,pas message,1
260,2016-10-09,question supreme court,0
261,1960-10-13,well que mr griffin believe head klan life tampa florida indicated statement think two three week ago going vote going vote mr nixon,0
262,2000-10-03,interesting issue northwest well,1
263,2008-10-07,notice start talking government,0
264,2004-10-13,next four year continue work make sure health care available affordable,1
265,1960-10-07,must use weapon purpose combating recession come,1
266,1976-10-06,committed one portsmouth ohio,1
267,1996-10-06,respect presidency,1
268,2012-10-22,would gone,1
269,1996-10-06,reached people life,0
270,2000-10-03,may blame folk time get somebody washington going work republican democrat get positive thing done come senior,1
271,1996-10-16,think important thing emphasize though also help people way build strong economy tax cut paid,1
272,2008-10-15,important point though american people become cynical politics see tit tat back forth,1
273,1996-10-16,talk economy,1
274,1992-10-19,horace greeley said thing endures character,0
275,2016-09-26,bring back job,1
276,2000-10-11,energy price high guess advocating big energy tax right,0
277,1984-10-21,call president commander chief,0
278,1960-10-13,done much thought deliberation,1
279,2008-10-07,worked way,1
280,1980-09-21,well see gallon tax applied gasoline would changed price gasoline,1
281,2008-10-07,temper decision ability beneficially affect situation realize sending america precious asset american blood harm way,1
282,1992-10-19,keep mind factory worker nothing anything except putting together factory floor,0
283,2004-10-13,manufacturing job credit,0
284,1992-10-15,everybody running incumbent,0
285,1984-10-21,going exploit political purpose opponent youth inexperience,1
286,1996-10-16,social security going retire,1
287,1960-09-26,pointed came congress year,0
288,1996-10-06,maybe bushnell memorial lot money people watching tonight couple kid working family four five month day care maybe personal computer may three four month mortgage payment,0
289,2004-10-08,going add active duty force military going make people feel good safe military overextended going run foreign policy actually president reagan president eisenhower others,1
290,2012-10-16,get rid,1
291,2012-10-22,one company make valve process industry said look valve coming broken repair warranty looked serial number,0
292,2016-10-09,congressional medal honor recipient endorsed,0
293,1960-10-21,stand still appoint people ambassadorship position washington status quo outlook recognize revolutionary time united state maintain influence,1
294,2008-10-15,make popular teacher union,0
295,2012-10-22,important course,1
296,2012-10-03,think five second interrupted,0
297,1960-10-07,sure belief deeply move way,1
298,1984-10-21,indeed side virtually throughout year senate,0
299,1996-10-16,think need go back take look,1
300,2004-10-13,running president happens catholic,0
301,2008-09-26,number two got make sure taxpayer putting money risk possibility getting money back gain market market return,1
302,2004-09-30,job,1
303,2000-10-03,payroll tax money,0
304,2000-10-17,went united state senate asked assignment armed service committee,0
305,1984-10-07,social security nothing balancing budget erasing lowering deficit,1
306,2004-10-08,also going talk respond asked cheryl time,1
307,1988-10-13,think people took u back space rick houk crew people worthy,0
308,2012-10-22,said occasion america dictated nation,0
309,2004-09-30,belief freedom iraqi people,0
310,2016-09-26,look going charlotte city love city investment look going throughout various part country whether mean keep naming day long need law order country,0
311,2016-10-19,long term health care driver,1
312,1996-10-06,oriented toward future,1
313,1988-10-13,question saying budget full lot waste,1
314,1976-10-06,ability fight necessary best way avoid chance requirement fight,1
315,1996-10-06,lawyer like lawyer,0
316,2008-09-26,see tough terrain,1
317,2016-09-26,would like everybody end get rid,1
318,2016-09-26,voted,0
319,2016-09-26,got give birth certificate,0
320,1992-10-15,fact fix,1
321,1984-10-21,president must also vision nation go,1
322,2016-10-09,finished,0
323,2012-10-22,president iraq excuse iran ahmadinejad say debt make u great country frightening thing,0
324,1996-10-16,took comment always ten thousand comment ought,0
325,2012-10-16,purpose put place imagine,1
326,2012-10-22,governor one thing,1
327,1960-09-26,program expand educational opportunity give american equal chance education thing necessary dear heart people,1
328,1976-09-23,mr ford uh misquoted ap uh news story error begin,0
329,2004-10-13,hunt osama bin laden,0
330,1992-10-15,think taxed much,1
331,1996-10-06,nobody suggested sending troop iraq hint president,0
332,2008-10-07,want say everything ever learned leadership learned chief petty officer,0
333,2000-10-11,thought strategic interest keep milosevic check relation nato took position took,1
334,2016-09-26,able country,1
335,1992-10-15,favor strict control much spend running congress strict limit political action committee requirement people running congress appear open public debate like,1
336,1976-09-23,democratic congress today fortunately republican president check excess veto,0
337,2000-10-17,discover great new cure great,0
338,2004-10-13,said say believe president broke faith american people way took nation war,0
339,2000-10-03,put real asset social security system,1
340,2016-10-09,going fact fact lying said know e mail fine,0
341,2004-10-13,put people behind bar rest life,0
342,2004-10-08,united nation effective removing saddam hussein,1
343,1996-10-06,think present position would true grateful,1
344,2008-10-15,initiated actually support charter,1
345,2016-10-19,three month ago started reading want get leader going attack mosul,0
346,2004-09-30,support u n effort,0
347,1992-10-15,got say got,1
348,2012-10-16,going bring pipeline canada,1
349,1984-10-21,know nothing,0
350,2004-10-13,child across country health care,0
351,2008-10-07,happens washington,1
352,2008-10-15,depression era thing called home ownership loan corporation,0
353,2004-09-30,son bryan came see,0
354,1992-10-15,put everybody breathing work,1
355,1960-10-21,general twining january fifty nine described position united state,0
356,2008-09-26,done work term securing potential target still long way go,1
357,2004-09-30,number one african union providing give logistical support,1
358,1988-10-13,came told truth brilliant book hope actually happening cuba,0
359,2016-09-26,look nato asked major show think nato,0
360,2000-10-03,surely nation come together promote value life,1
361,2012-10-16,talk small business across country,0
362,1960-10-13,stand secretary state mr herter said island indefensible,0
363,1996-10-16,got lot relative good average middle class hardworking american,0
364,2004-10-13,exactly,1
365,2008-09-26,point prevail afghanistan need new strategy need succeed,1
366,2008-10-15,got get financial package working much quicker working,1
367,1988-10-13,ought go program ought review first,1
368,2016-10-09,slogan campaign stronger together think work together overcome divisiveness sometimes set american one another instead make big goal set forth big goal getting economy work everyone top making sure best education system preschool college making affordable much else,1
369,2008-09-26,mean mission succeeds like young people enlisted baghdad like mother met airport day whose son killed,0
370,2016-09-26,met bibi netanyahu day,0
371,2004-10-13,committee chaired late senator daniel patrick moynihan new york democrat,0
372,2000-10-17,wish knew law would darn sure sign,1
373,1984-10-21,evening talked national strength,0
374,2000-10-11,trying allege hard hearted person care child absolutely wrong,1
375,1992-10-19,guard like secret atomic bomb literally,0
376,1992-10-11,best help short term job retraining thrown work defense plant,1
377,1980-09-21,went cite three issue platform totally ignore atomic warfare presidential directive notwithstanding,0
378,2008-10-15,conversation joe plumber essentially said five year ago position buy business needed tax cut,0
379,1988-09-25,well massachusetts furlough program unique,0
380,2000-10-11,may different approach,1
381,2004-10-13,remember campaign people said george w get elected check taken away,0
382,1984-10-07,son methodist minister,0
383,1984-10-21,morton criticize president undercutting stalwart ally shah iran,0
384,2012-10-03,seems trend,1
385,1996-10-16,government pay medicare medicaid know important,0
386,2004-10-13,hunt kill capture,1
387,2008-09-26,senator obama chairperson committee oversight nato afghanistan,0
388,2008-10-15,got going cost loss,0
389,2012-10-22,never said would liquidate,0
390,1988-09-25,mr bush right two go hand hand,1
391,2012-10-03,know grandmother know helped raise,0
392,2012-10-03,use something called race top,0
393,1988-09-25,public service love country,0
394,1988-09-25,well anne let say answer question know vice president attacked program massachusetts,0
395,2016-10-09,natural gas many thing technology,0
396,2012-10-16,described described mr president described precisely single number people put put deduction credit,1
397,2000-10-11,entrusted presidency first civil right act st century,1
398,1996-10-16,worked hard help turn economy around,0
399,1976-10-06,met head government bilaterally well multilaterally,0
400,2000-10-11,according number,1
401,2016-10-09,know right law school went work child defense fund,0
402,2012-10-16,way done thing,0
403,2008-10-07,also going work karzai government met president karzai clear going better people order u gain popular support necessary,0
404,2012-10-16,question question much cut,1
405,2016-10-19,well first let say number one saw final agreement tpp said,0
406,1992-10-11,alive today criminal justice system,1
407,1960-09-26,secondly statement made uh democratic platform would cost good deal money favor unbalancing budget,0
408,1992-10-11,see difference strength,1
409,2004-10-08,going competitive making sure kid graduating school college,1
410,2004-10-13,last debate opponent said wife involved program,0
411,2016-10-09,latino american hispanic american,1
412,1996-10-16,give tax cut targeted child rearing education buying first home paying health care,1
413,2016-10-09,could go united state government would probably tell know sheet well order get development,1
414,2008-10-15,voucher senator obama,0
415,1988-10-13,talking former governor state california former prosecutor republican named earl warren think chief justice earl warren outstanding chief justice think american,0
416,2016-10-09,know given u,1
417,1980-10-28,nation refugee nation immigrant,0
418,2004-09-30,order sanction effective working british french german country,1
419,2012-10-16,take word take executive gm chrysler republican may even support governor romney,0
420,2008-10-07,senator mccain guy sang bomb bomb bomb iran called annihilation north korea,0
421,2012-10-22,sit secretary navy joint chief staff determine going best able meet defense need way also keep faith troop also make sure veteran kind support need come home,0
422,1976-09-23,time government understand cooperate people,1
423,1992-10-11,mr bush talked tax,0
424,2012-10-16,done either,0
425,1976-09-23,instance uh completely revised prison system,0
426,2008-10-15,described plan,0
427,1992-10-19,term influenced woman minority right wife beautiful daughter son surrounded woman giving telling u time,0
428,2000-10-03,want federal government consistent local control new accountability make improvement school number one priority caley desk sit classroom learn,1
429,2016-10-19,donor done thing,0
430,2000-10-03,want senior additional choice come choosing health care plan,1
431,1996-10-16,ronald reagan got together tip neill howard baker two republican one democrat,0
432,2012-10-22,well course concur president said record thing said,1
433,2008-09-26,first let talk troop funding issue john always brings,0
434,1988-10-13,running record west texas got call come home went doctor doctor said beautiful child child week live,0
435,2004-10-08,fellow stood quivering,0
436,1988-10-13,barbara sitting democratic convention,0
437,2016-10-19,visited many community,0
438,1960-10-21,well condition laid one previous television debate rather difficult much specific,0
439,2012-10-22,course regard standing principle student took street tehran people protested green revolution occurred president silent thought enormous mistake,0
440,2016-09-26,start raising national minimum wage also guarantee finally equal pay woman work,1
441,2004-10-08,may well december hear say think safe way,1
442,2016-10-09,sign peace treaty,0
443,1976-10-06,relation japan never better,1
444,1992-10-19,still losing lot auto job judgment national economic strategy build industrial base country,1
445,1992-10-15,raised question father said well father prescott bush mccarthy ashamed mccarthyism,0
446,2004-10-08,tax cut,0
447,2008-10-07,wife michelle could give much longer list,0
448,2004-10-13,think people understand saying,1
449,1996-10-16,election,1
450,2008-10-15,order give order give additional tax cut joe plumber point could make,1
451,2012-10-16,appreciate question,1
452,1976-10-22,last uh two week chance talk uh two men visited uh soviet union yugoslavia china,0
453,2004-10-08,make judgment,0
454,1992-10-11,sorry demonstrating question patriotism,1
455,1996-10-06,think continue work think dangerous kill destroy life get message change,1
456,1980-10-28,one recent economic summit conference leader western world committed take strong action terrorism,1
457,2000-10-17,second biggest state farming state country,0
458,1988-09-25,one father laid month ago lost health insurance,0
459,1980-09-21,heard ask something would give hope,0
460,1976-10-06,conference met six time,0
461,2004-09-30,america nato helping jordan helping train police uae helping train police,0
462,1976-10-06,iran arab country know moslem country saudi arabia declare oil embargo u would consider economic declaration war,0
463,1960-10-13,far indochina concerned stated essential period united state make clear would tolerate indochina falling communist domination,0
464,1960-10-07,senator kennedy expressed hope field hope think american would share want problem progress area,1
465,1988-09-25,testing confidential knowledge,1
466,2000-10-03,variety choice choose senior,0
467,2004-09-30,course saddam hussein mean bin laden,0
468,1992-10-15,fact government come,1
469,1996-10-06,like said texas one day know raised tax much cut defense much mr president,0
470,2016-09-26,know campaign caused questioning worry part many leader across globe,1
471,2016-09-26,also could somebody sitting bed weighs pound ok,1
472,1992-10-19,look build consensus thing ross mentioned saddam hussein,0
473,1992-10-11,oregon plan good start federal government going continue abandon responsibility,1
474,2016-10-19,know awesome responsibility protecting country incredible opportunity working try make life better,1
475,1992-10-19,big difference trickle theory,1
476,1976-09-23,ccc type program would appropriate channel money ah cha sharing private sector also local state government employ young people work,1
477,1984-10-21,believe great interest pacific basin,1
478,1988-09-25,one example save money improve quality life time,1
479,1992-10-15,line item veto could knock pork,1
480,2000-10-03,one making car payment mortgage payment right kid,1
481,2012-10-16,want create economy strong time produce energy,1
482,2008-10-15,think inappropriately drew comparison happening happened civil right movement immediately put statement saying think comparison appropriate,0
483,2008-10-15,course talking economy,0
484,2016-10-09,well said awake clock morning also sent tweet clock morning even mention,0
485,2016-10-19,tell particular chicago people hurt people could killed riot,0
486,2016-09-26,reason believe ever going release tax return something hiding,1
487,1960-09-26,judgment hard money tight money policy fiscal policy administration contributed slow economy helped bring recession fifty four made recession fifty eight rather intense slowed somewhat economic activity,1
488,1984-10-07,really view american people however feel question abortion government ought reaching livingrooms making choice like,1
489,1988-10-13,make decision make difficult wrenching decision,1
490,2004-10-13,child grandchild need different strategy,1
491,2000-10-17,remember administration tried,1
492,2000-10-11,supported,0
493,1984-10-21,agree production restriction agreement unless ability verify agreement,1
494,2012-10-03,number two young people able stay family plan,1
495,1992-10-15,actually amendment constitution way constitution read,1
496,2008-10-15,big government best,1
497,2008-10-07,proposal senator obama proposal president bush proposal,0
498,2000-10-11,one reason think important nation develop anti ballistic missile system share ally middle east need keep peace able say saddam hussein world iranian dare threaten friend,1
499,1996-10-16,met woman,0
500,1988-10-13,certainly ought able,1
501,2012-10-16,know couple week ago actually probably month saw mother met bedside son shot theater,0
502,2016-09-26,think going make air conditioner car cooky whatever make bring country without tax wrong,1
503,2000-10-03,support woman right choose,0
504,2000-10-03,incidentally one,1
505,1980-10-28,think technology improves able even better,1
506,2000-10-03,believe senior citizen able choose doctor get prescription drug pharmacist medicare paying half bill,1
507,2004-09-30,need smarter wage war terror,1
508,1980-10-28,wish could sat group teenager black telling unemployment problem minimum wage done away job could get,0
509,1992-10-15,tonight young people balcony college,0
510,2004-09-30,want change dynamic ground,1
511,2000-10-17,couple time governor said bigger government,0
512,1996-10-06,ask support ask help,1
513,2000-10-17,nation need credible strong,1
514,1976-09-23,also got uh comparison mr nixon,1
515,1992-10-19,crook willie sutton would gone saving loan rather rob bank robbed bank money owning saving loan money,0
516,1976-09-23,think uh also appropriate point tax policy stimulated uhh added employment throughout country investment tax credit tax incentive expansion modernization industrial capacity,1
517,2008-10-15,senator clinton said debate need know full extent relationship,0
518,1988-09-25,course charge always made governor run presidency,1
519,2000-10-17,see order get something done behalf people put partisanship aside state,0
520,2004-09-30,understand serious consequence committing troop harm way,1
521,2008-10-07,meanwhile getting kind money campaign contribution,0
522,1996-10-16,vote one way expansion family leave,1
523,1960-10-13,von fremd would completely irresponsible candidate presidency president indicate course action weapon would use event attack,1
524,1984-10-21,see lebanon central america,1
525,2008-09-26,mean one biggest consumer oil percent world oil energy strategy deal russia deal many rogue state talked iran venezuela,0
526,2004-10-13,saw problem public education system america,1
527,1996-10-16,service,1
528,1992-10-19,like trickle government,1
529,2004-10-13,respect someone right profess tolerance change change basic view sanctity marriage,1
530,2004-10-13,said let raise standard,0
531,2012-10-22,cutting investment research technology smart choice,1
532,1984-10-07,deep religious faith,0
533,2016-10-19,spending fortune,0
534,2008-09-26,strategy general winning,1
535,2012-10-16,ok need create job,1
536,1960-10-07,like know defeated retreated,1
537,1996-10-06,view policy failed,1
538,1992-10-11,senator connecticut stood named prescott bush,0
539,1996-10-06,anybody go ask people going pay extra money,1
540,2000-10-11,differ whether pollution control ought voluntary,0
541,2012-10-22,way treated apartheid diplomat south africa,1
542,2004-10-13,said know,0
543,1976-10-06,karl marx grandfather communism,0
544,2004-10-08,plan put people back work,1
545,2000-10-11,agree support law,0
546,2004-10-08,wanda blackmore met missouri first time bought drug drug discount card paid think worth drug,0
