,date_commenced,claim,verdict
82,2008-10-15,local school district end burden bunch unfunded mandate kind thing happened special education right thing saying every school provide education kid special need never followed promise funding left local school district cash strapped barack obama senator,1
83,1996-10-16,got great economic package hope discus later bob dole senator,0
84,2004-09-30,understand stake war terror george w bush president,0
85,1992-10-19,like respond bill clinton governor,0
86,2008-10-07,best day ahead u john mccain senator,0
87,1996-10-06,discussing whitewater bob dole senator,0
88,1960-09-26,recognizes government responsibility get farmer trouble presently government got richard nixon vice president,0
89,2016-10-19,sign immigration reform george w bush supported well hillary clinton secretary state,1
90,1980-10-28,basic commitment since president reduce dependence foreign oil jimmy carter president,1
91,2004-09-30,think misled said know anyone doubted whether world better without saddam hussein power judgment president george w bush president,0
92,1992-10-19,talk quitting spending money campaign party spending money taxpayer money ross perot independent candidate,1
93,1996-10-06,let polluter actually come hall congress room rewrite environmental law bill clinton president,1
94,2016-10-19,saying referenced chris disagreed way court applied second amendment case district columbia trying protect toddler gun wanted people gun safely store hillary clinton secretary state,1
95,2016-10-19,united state kept peace united state kept peace alliance hillary clinton secretary state,1
96,1992-10-19,nevertheless george bush president,0
97,2008-10-15,understands autism rise got find causing got reach family help give help need raise special need child john mccain senator,1
98,2012-10-03,hospital provider longer accept medicare patient mitt romney governor,0
99,2008-10-07,senator mccain suggests somehow know green behind ear know spouting somber responsible barack obama senator,0
100,2016-10-19,invasion supported hillary clinton secretary state,1
101,2004-09-30,allocated billion next month reconstruction effort george w bush president,1
102,2008-10-15,think look offshore drilling implement way allows u get additional oil barack obama senator,0
103,2016-10-09,yes senator vote close corporate loophole hillary clinton secretary state,1
104,1976-09-23,governor carter embraced record present congress dominated political party gerald r ford president,1
105,2008-09-26,ideal value united state inspired entire world barack obama senator,0
106,2000-10-03,think president george w bush governor,0
107,2008-09-26,due respect already gave oil company john mccain senator,1
108,2012-10-16,george bush never suggested eliminate funding planned parenthood difference governor romney george bush economic policy barack obama president,1
109,1996-10-16,asked yassir arafat prime minister netanyahu come washington got together talked alone three hour convinced chance make peace bill clinton president,1
110,1960-10-13,yes stated uh debate state believe balanced budget supported concept fourteen year congress john f kennedy senator,1
111,1996-10-16,well one thing oppose government takeover health care president clinton offered created new tax new bureaucracy price control afraid thing mentioned would happened bob dole senator,1
112,2016-09-26,met dishwasher painter architect glass installers marble installers drapery installers like dad refused pay finished work asked hillary clinton secretary,1
113,2004-09-30,crawford texas jiang zemin agreed nuclear weapon free peninsula korean peninsula interest interest world interest george w bush president,1
114,1996-10-06,school uniform curfew opposed truancy bob dole senator,0
115,1976-09-23,uh january asked tax change billion increase low middle income private individual six half billion dollar decrease corporation special interest jimmy carter governor,1
116,2016-10-09,able compete donald trump businessman,0
117,2016-10-19,know rebel donald trump businessman,1
118,1960-10-13,number three pre vice president suggests keep communist doubt whether would fight quemoy matsu john f kennedy senator,0
119,2012-10-03,know get tax rate percent percent billion table mitt romney governor,0
120,1988-10-13,proposing kind program new spending costing billion michael dukakis governor,1
121,1960-09-26,price pay richard nixon vice president,0
122,1960-10-21,get better job congress going get u money need conduct foreign affair country latin america place else richard nixon vice president,0
123,2012-10-03,well month running tax plan barack obama president,1
124,2008-09-26,doubt going able everything think need done barack obama senator,0
125,1996-10-16,setting new record year bob dole senator,0
126,2000-10-11,warning sign clear george w bush governor,0
127,1984-10-07,coming deficit started great increase ronald reagan president,0
128,1976-09-23,believe eliminating ten million taxpayer last uh eight year putting heavier tax burden higher tax bracket plus action taken uh give taxpayer adequate tax relief gerald r ford president,1
129,2016-10-19,gave billion back donald trump businessman,1
130,2008-10-07,got show moral support ukraine john mccain senator,0
131,1992-10-11,backing every way possibly george bush president,0
132,2016-09-26,longer lester donald trump businessman,0
133,1976-10-22,uh think burger court confirmed basic controversial decision warren court jimmy carter governor,1
134,2004-10-08,knew invaded country george w bush president,1
135,2012-10-16,well candy actually state pro gun folk anti gun folk came together put together piece legislation mitt romney governor,1
136,2016-09-26,know tried switch look stamen hillary clinton secretary,0
137,2016-09-26,raise income america hillary clinton secretary,0
138,1980-10-28,new economic revitalization program mind implemented next year would result tax credit would let business invest new tool new factory create even new job one million next two year jimmy carter president,0
139,1992-10-15,big human problem devastating economic problem america going send plan within first day presidency bill clinton governor,0
140,2004-10-08,five million people lost health insurance president john kerry senator,1
141,1976-10-06,uh ignored excluded american people congress participation shaping foreign policy jimmy carter governor,0
142,2016-10-09,hillary clinton attacked woman attacked viciously donald trump businessman,1
143,2012-10-16,manufacturer u making product compete mitt romney governor,1
144,1960-10-13,also far religion concerned richard nixon vice president,0
145,1992-10-15,would feel george bush president,0
146,1980-10-28,opposing principle providing care ronald reagan governor,1
147,2012-10-16,said well gosh find woman also qualified mitt romney governor,0
148,1960-10-21,let set record straight right looking record al smith used say richard nixon vice president,0
149,2000-10-03,tax plan continues criticize set one third george w bush governor,1
150,2000-10-11,way see world getting much closer together al gore vice president,0
151,2008-10-07,american best innovator best producer percent people market live outside united state america john mccain senator,1
152,1996-10-16,think important thing emphasize though also help people way build strong economy tax cut paid bill clinton president,0
153,1988-09-25,mean kind judgment mean jumping president decision one area farm policy george bush vice president,0
154,2016-10-19,growing last report came right around percent level donald trump businessman,1
155,2016-10-19,going start engine rolling donald trump businessman,0
156,2016-10-09,highest ever country hillary clinton secretary state,1
157,1992-10-11,number three need help support russia republic every possible way become democratic capitalistic society sit back let country continue turmoil ross perot independent candidate,0
158,1996-10-06,understand extended til time next year bob dole senator,1
159,2008-10-15,free trader john mccain senator,1
160,1984-10-07,tax deduction person making anywhere paying tax full gross earnings already paid income tax amount money ronald reagan president,1
161,1976-10-22,bankruptcy gone uh extraordinary degree jimmy carter governor,1
162,1988-10-13,see believe crime heinous brutal outrageous say particularly result death police officer real brutal crime believe death penalty think deterrent believe need george bush vice president,0
163,1996-10-06,drug use doubled past month across america bob dole senator,1
164,1992-10-15,starting going school going public school th grade ross perot independent candidate,0
165,1980-09-21,would still gone much would added top ronald reagan governor,1
166,1980-10-28,thing nation committed continue commitment jimmy carter president,0
167,2016-10-19,dug standing yet running hillary clinton secretary state,0
168,2004-10-08,mean make figure george w bush president,1
169,2000-10-17,see consequence george w bush governor,0
170,2016-10-09,talking inner city year donald trump businessman,1
171,1976-10-06,way strong militarily kind reduction military uh appropriation gerald r ford president,0
172,2004-09-30,upheld doctrine said harbor terrorist equally guilty terrorist george w bush president,1
173,1996-10-06,whether organized labor whether hollywood elite whether medium elite whether labor union whatever bob dole senator,0
174,1996-10-06,advocated expansion public school choice alternative said creation new school going help state finance bill clinton president,1
175,2016-10-09,foreign company coming buying buying many different plant jiggering plant take care oil donald trump businessman,1
176,1992-10-15,gone first twelfth world wage bill clinton governor,1
177,1980-10-28,believed probably potential oil united state probably hidden land one allowed even go explore find ronald reagan governor,1
178,2000-10-11,make health care affordable allow business association like national federal independent business chamber commerce national restaurant association write association plan across jurisdictional line small business got capacity national pooling drive cost insurance george w bush governor,1
179,2000-10-17,state became one top five nation health care coverage child leadership al gore vice president,1
180,2000-10-03,contrast al gore vice president,0
181,1980-10-28,given canceled plan build government regulation permit forth take make take twice long build nuclear plant united state build one japan western europe ronald reagan governor,1
182,2000-10-17,look want someone spend lot word describing whole convoluted process end supporting legislation supported big drug company man al gore vice president,1
183,1984-10-07,result exactly see walter mondale former vice president,0
184,2016-10-19,job fled mexico place donald trump businessman,1
185,2008-10-15,prove john mccain senator,0
186,2008-10-07,traveled world looking effect greenhouse gas emission joe lieberman john mccain senator,1
187,1976-10-22,strongly abortion jimmy carter governor,0
188,1976-10-06,never advocated communist government italy jimmy carter governor,1
189,2004-09-30,secretary bill perry negotiated president clinton john kerry senator,1
190,2000-10-03,billion ten year wealthiest al gore vice president,1
191,1996-10-06,twisted arm got six democrat vote way lost one vote bob dole senator,1
192,1992-10-19,year mr bush vetoed tax increase wealthy gave middle class tax relief bill clinton governor,1
193,2012-10-22,egypt stood side democracy barack obama president,1
194,2016-10-19,cease fire three week ago donald trump businessman,1
195,1996-10-06,done following thing number one managed aftermath cold war supporting big drop nuclear weapon russia bill clinton president,1
196,1984-10-07,let people go guideline overall policy looking shoulder nitpicking manner go job ronald reagan president,0
197,2000-10-11,believe ought recognize value child grandchild taking step preserve environment way good al gore vice president,0
198,2016-10-09,case murderer drug lord drug problem donald trump businessman,1
199,1976-10-06,would close twenty military base united state immediately gerald r ford president,1
200,1996-10-16,help whatever going next year bob dole senator,0
201,2016-09-26,tell donald trump businessman,0
202,2004-10-08,going draft period george w bush president,0
203,2008-09-26,look last eight year administration along senator mccain solely focused iraq barack obama senator,1
204,2000-10-11,make excuse want fact reducing number uninsured percentage population george w bush governor,1
205,1992-10-15,oh going let ross perot independent candidate,0
206,1996-10-06,little difference budget proposed republican budget next six year period bill clinton president,1
207,2016-10-19,fought senator hillary clinton secretary state,1
208,1960-10-07,indicated support attempt provide fair employment practice around country everyone get job regardless race color john f kennedy senator,1
209,2008-10-15,offshore drill john mccain senator,1
210,2004-10-13,one clearly litmus test judge disagree george w bush president,1
211,2000-10-03,claim social security george w bush governor,1
212,1992-10-15,point want make bipartisan commission reviewed plan bush plan many republican democratic health care expert bill clinton governor,1
213,2000-10-11,well would given special protective status george w bush governor,0
214,2008-10-15,frankly senator mccain voted four five president bush budget barack obama senator,1
215,2000-10-17,part bottom wage earner get expanded earned income tax credit al gore vice president,1
216,2016-09-26,finally need pas prohibition anyone terrorist watch list able buy gun country hillary clinton secretary,0
217,1992-10-15,exciting thing fear nuclear war george bush president,0
218,1984-10-07,matter fact biggest single tax increase nation history took place ronald reagan president,1
219,1988-09-25,paul tsongas liberal senator massachusetts said dumbest thing oppose capital gain cut george bush vice president,1
220,2000-10-17,blocked republican leadership congress al gore vice president,1
221,1984-10-07,every woman america present judge picked jerry falwell clear personal judgment walter mondale former vice president,0
222,1960-10-07,platform suggests done economic growth done effect mirror richard nixon vice president,1
223,2008-10-07,going able everywhere time barack obama senator,0
224,1984-10-07,believe president must command white house work walter mondale former vice president,0
225,1960-10-21,say worst education world john f kennedy senator,1
226,2012-10-16,still dealing diplomat threatened governor romney put press release trying make political point commander chief operates barack obama president,1
227,2000-10-03,fewer parent school age child percentage voting population largest generation student ever al gore vice president,1
228,2016-09-26,republican democrat agree done trillion donald trump businessman,1
229,2004-09-30,plan summit ally something president yet achieved yet able bring people table john kerry senator,1
230,1996-10-16,attack ever created job educated child helped family make end meet bill clinton president,0
231,1988-10-13,great success revenue enforcement michael dukakis governor,0
232,2004-10-08,talk people wife teresa making choice abstinence thing ought responsible society john kerry senator,0
233,2004-09-30,believe free afghanistan nation interest george w bush president,0
234,1976-10-22,single young american fighting dying foreign soil tonight gerald r ford president,0
235,1996-10-16,whole administration future bill clinton president,0
236,1996-10-06,need education le bill clinton president,0
237,2016-10-09,make lost time want invest hillary clinton secretary state,0
238,2000-10-17,want law supersede good law like got texas george w bush governor,0
239,1988-10-13,let say spent million million dollar advertising subject boston harbor michael dukakis governor,1
240,2004-09-30,thank much tonight jim george w bush president,0
241,2004-10-08,denigrates alliance say going alone discount sacrifice george w bush president,0
242,1960-10-21,talk school three time many classroom built past administration eisenhower truman administration richard nixon vice president,1
243,1996-10-06,got one parent working government parent working family bob dole senator,0
244,2012-10-03,national federation independent business said plan kill job mitt romney governor,1
245,1980-10-28,kind element national health insurance important american people jimmy carter president,0
246,1984-10-07,real interest rate real cost interest remain high many economist predicting moving period slow growth economy tapering may recession walter mondale former vice president,0
247,2012-10-03,number one principal tax cut add deficit mitt romney governor,0
248,1960-10-21,six country africa member united nation john f kennedy senator,1
249,1996-10-06,true connecticut family income bob dole senator,1
250,2016-09-26,going raise tax trillion donald trump businessman,1
251,1988-10-13,learned hard way governor supported slipping cola one year george bush vice president,1
252,2000-10-17,take care elderly home going get personal exemption increased george w bush governor,1
253,1996-10-06,said would change way welfare work even bill passed moved nearly two million people welfare work working state community bill clinton president,1
254,2016-10-19,miss billion donald trump businessman,0
255,2008-10-15,highest spending senator obama campaign time since watergate john mccain senator,1
256,2008-10-07,really part mistrust john mccain senator,0
257,2004-10-08,thanks washington u well george w bush president,0
258,2012-10-22,unfortunately nowhere world america influence greater today four year ago mitt romney governor,1
259,2008-10-15,done come economic policy help working family get leg barack obama senator,1
260,2012-10-03,language contrary simply accurate mitt romney governor,0
261,2008-10-07,thank thank friend john mccain senator,0
262,2008-09-26,mention still spending billion month billion surplus time great distress home talked fact budget way overstretched borrowing money overseas try finance basic function government barack obama senator,1
263,1976-09-23,cost money gerald r ford president,0
264,2008-10-15,need reform program john mccain senator,0
265,2004-09-30,duty country future generation america achieve free iraq free afghanistan rid world weapon mass destruction george w bush president,0
266,2004-10-08,also think ought continue good adoption law alternative abortion george w bush president,0
267,2008-09-26,could impose significant meaningful painful sanction iranian think could beneficial effect john mccain senator,0
268,2000-10-03,big drug company support governor bush prescription drug proposal al gore vice president,1
269,2000-10-17,want diverse administration think important george w bush governor,0
270,1976-10-22,reduced military manpower million four hundred thousand gerald r ford president,1
271,2012-10-16,respect pipeline governor romney keep talking built enough pipeline wrap around entire earth barack obama president,1
272,1976-10-22,far ahead immediately following democratic convention republican convention jimmy carter governor,0
273,1960-10-07,administration stopped quemoy matsu stopped indochina stopped lebanon stopped part world richard nixon vice president,1
274,1980-10-28,h l mencken said every problem simple answer jimmy carter president,0
275,1960-10-07,indicated support title three would give attorney general additional power protect constitutional right john f kennedy senator,1
276,2016-10-09,solve say name donald trump businessman,0
277,2016-09-26,hoping within year able push isi iraq know really squeeze syria hillary clinton secretary,0
278,1976-09-23,would certainly uh cut atomic power altogether jimmy carter governor,0
279,1992-10-15,young people high grade get job ross perot independent candidate,1
280,1976-10-06,shipment spruance class destroyer iran much highly sophisticated spruance class destroyer present delivered navy jimmy carter governor,1
281,2016-09-26,first maybe rich say hillary clinton secretary,0
282,1992-10-19,real thing got competitive economic strategy bill clinton governor,0
283,1960-10-21,say issue discussed campaign richard nixon vice president,0
284,2008-10-07,know voted john mccain senator,0
285,2000-10-17,one advanced patient bill right george w bush governor,1
286,1996-10-06,well record governor lowest second lowest tax burden state country highest job growth rate state ran president widely recognized lot advance bill clinton president,1
287,1976-10-22,percent increase housing start gerald r ford president,1
288,2008-10-07,like meg whitman know like marketplace john mccain senator,0
289,2012-10-22,surge successful training program proceeding apace mitt romney governor,1
290,2008-10-15,nothing important u longer borrowing billion china sending saudi arabia barack obama senator,1
291,1976-09-23,saved billion veto jimmy carter governor,1
292,2000-10-17,structured plan six million additional american family pay tax george w bush governor,1
293,2012-10-16,want drill public land use lose barack obama president,0
294,2016-09-26,figured ask question tonight course donald trump businessman,0
295,1992-10-15,going take time tonight let say bill clinton governor,0
296,2016-09-26,one reason national security official served republican information administration hillary clinton secretary,1
297,1984-10-07,largest peacetime government ever term take total economy walter mondale former vice president,1
298,2016-10-09,noticed canadian need big operation something happens come united state many case system slow donald trump businessman,1
299,1984-10-21,going make decision tactic could obviously number area world importance u ronald reagan president,0
300,1992-10-15,sit slow dancing year nothing ross perot independent candidate,0
301,2016-10-19,actually think important question evening chris finally donald trump admit condemn russian make clear help putin election reject russian espionage american actually encouraged past hillary clinton secretary state,1
302,1996-10-06,question would buy used election promise opponent bob dole senator,0
303,1984-10-21,said administration turned walk wood agreement first would perfect agreement standpoint united state europe security walter mondale former vice president,1
304,2012-10-16,george bush embraced comprehensive immigration reform barack obama president,1
305,2008-09-26,third thing got make sure competing education barack obama senator,0
306,1960-09-26,think better job john f kennedy senator,0
307,1984-10-21,first ally italian french united kingdom went lebanon went request left lebanese government stabilizing force tried establish government ronald reagan president,1
308,2004-10-08,taken care george w bush president,0
309,1960-09-26,president need sustain veto bill one third plus one either house senate john f kennedy senator,1
310,2004-09-30,much involved u n sanction policy bashir government sudan george w bush president,1
311,2012-10-03,want put money back medicare senior mitt romney governor,0
312,2008-09-26,also want thank university mississippi hosting u tonight john mccain senator,0
313,1988-10-13,george bush supported mr meese michael dukakis governor,0
314,2012-10-03,put plan bipartisan plan mitt romney governor,1
315,1984-10-21,regard high interest rate least give u recognition fact left office mr mondale prime rate ronald reagan president,1
316,1992-10-15,got pilot program george bush president,1
317,2016-10-19,bad hombre going get donald trump businessman,0
318,1996-10-06,tax increase tax everybody america bob dole senator,1
319,1988-09-25,got begin early first second third grade youngster begin experiment dangerous substance michael dukakis governor,0
320,2000-10-17,nine time raised hand take oath constitution never violated oath al gore vice president,1
321,2004-10-08,need stronger terrorism john kerry senator,0
322,1996-10-06,value must stake bill clinton president,0
323,2004-09-30,tell day went war started principally united state america great britain one two others john kerry senator,0
324,2016-10-19,ridiculous defeat isi donald trump businessman,0
325,1992-10-11,nobel prize winning economist others including numerous republican democratic business executive endorsed approach offer best hope put america back work get income rising instead falling bill clinton governor,1
326,1988-09-25,see fundamental philosophy give local state government much control possible george bush vice president,0
327,1960-10-13,say event attack occurred event attack prelude attack formosa would indication today chinese communist say objective offshore island consider steppingstones taking formosa event attack prelude attack formosa question united state would case berlin honor treaty obligation stand ally formosa richard nixon vice president,1
328,1992-10-15,glad take shot george bush president,0
329,1992-10-15,say something george bush president,0
330,2000-10-11,support instant background check gun show george w bush governor,1
331,1960-10-07,say candidate vice presidential candidate would hope well including senator johnson talk issue every opportunity richard nixon vice president,0
332,2008-09-26,winning iraq john mccain senator,1
333,2008-10-15,far child left behind concerned great first beginning view john mccain senator,0
334,2008-10-15,providing kind competition upgraded school type school john mccain senator,1
335,1992-10-19,think general motor thing relevant ross perot independent candidate,0
336,2016-09-26,leadership donald trump businessman,0
337,2000-10-03,thing knew get aid quickly possible state federal help put arm around man family cry george w bush governor,0
338,1984-10-07,growth little percent walter mondale former vice president,1
339,2004-09-30,need deny recruit john kerry senator,0
340,1996-10-06,think make mistake say made mistake bob dole senator,0
341,2000-10-17,find success praise george w bush governor,0
342,2008-09-26,got brought control john mccain senator,0
343,2000-10-03,every dollar propose spend education spends tax cut wealthiest al gore vice president,1
344,2016-10-09,disagree much fighting donald trump businessman,0
345,1976-10-22,also end extreme jimmy carter governor,0
346,2004-10-13,never seen member party locked meeting way locked today john kerry senator,0
347,2000-10-11,think know would hope able convince people could handle iraqi situation better george w bush governor,0
348,2012-10-22,state legislature percent democrat mitt romney governor,1
349,2008-10-15,want cut tax difference want cut tax barack obama senator,1
350,2000-10-03,role federal government george w bush governor,0
351,2012-10-03,want continue tax rate tax cut put place small business family barack obama president,0
352,1992-10-19,nobody evil intent ross perot independent candidate,0
353,1996-10-06,government said pinching penny change instead poor taxpayer bob dole senator,0
354,1960-09-26,think however president leadership set country exactly must next decade going maintain security education economic growth development natural resource john f kennedy senator,0
355,1992-10-19,well folk got one one financial crisis ross perot independent candidate,1
356,2016-09-26,difference donald trump businessman,0
357,1980-10-28,ultimately serious terrorist threat one radical nation believe terrorism policy atomic weapon jimmy carter president,0
358,2000-10-03,action kosovo dragging searching solution problem country defeated adversary battlefield without single american life lost combat al gore vice president,1
359,1996-10-16,take politics bob dole senator,0
360,1960-10-07,effective job way richard nixon vice president,0
361,1988-09-25,seems want spend great deal money every weapon system say new tax although broken pledge least time last year know want give wealthiest taxpayer country five year billion tax break michael dukakis governor,1
362,1976-10-06,mr ford said believe accurate white house made attempt block issuing report jimmy carter governor,1
363,1984-10-07,want civil right law enforced walter mondale former vice president,0
364,2008-09-26,reading threat iran iran acquires nuclear weapon existential threat state israel threat country region country region feel compelling requirement acquire nuclear weapon well john mccain senator,0
365,1996-10-06,men wage gone gone bob dole senator,1
366,1984-10-07,want deadly new effort bring weapon heaven walter mondale former vice president,0
367,2012-10-22,want see world break various form chaos manufacture good put people work million rather people coming farm every year coming city needing job mitt romney governor,1
368,2000-10-11,promise try hard al gore vice president,0
369,2008-10-15,make investment people coverage preventing disease save medicare medicaid future barack obama senator,1
370,1984-10-21,seen nicaraguan example policy actually hurt u strengthened opposition undermined moral authority country region walter mondale former vice president,0
371,2004-10-08,trying say make mistake going iraq george w bush president,0
372,1984-10-07,american people see debt know got come walter mondale former vice president,0
373,1960-09-26,negro baby born true also puerto ricans mexican city one half much chance get high school white baby john f kennedy senator,1
374,1984-10-21,want know retaliate retaliating responsible terrorist act ronald reagan president,0
375,1996-10-16,would think seems opportunity bob dole senator,0
376,2004-10-13,believe failure presidential leadership reauthorize assault weapon ban john kerry senator,0
377,2004-09-30,get home soon mission done vital mission george w bush president,0
378,1960-10-21,opposed drawing line know moment draw line encouragement communist attack step blackmail force war none u want richard nixon vice president,0
379,2012-10-22,thing make america attractive place world entrepreneur innovator business grow mitt romney governor,0
380,2016-10-09,honest disappointed congressman including republican allowing happen donald trump businessman,0
381,1992-10-15,mom pop store get together pool bring cost insurance george bush president,1
382,2016-10-09,great country donald trump businessman,0
383,2004-10-13,vaccine manufacturer worried getting sued therefore backed providing kind vaccine george w bush president,1
384,2016-10-09,want thing done including fixing making inner city better african american citizen great latino hispanic look forward donald trump businessman,0
385,1988-09-25,see young man knowledgeable defense three people ticket knowledgeable whole race knowledgeable defense dan quayle one one george bush vice president,0
386,1996-10-16,looking u leadership bob dole senator,0
387,2004-10-08,lady gentleman important understand president friend try make big deal john kerry senator,0
388,1960-10-07,senator fulbright senator humphrey tried john f kennedy senator,0
389,1992-10-11,think important recognize thing done short interest bill clinton governor,0
390,1988-09-25,think serious question judgment watching u tonight right judge review michael dukakis governor,0
391,2000-10-11,indicted war criminal al gore vice president,1
392,2016-10-19,many state putting stringent regulation woman block exercising choice extent defunding planned parenthood course provides kind cancer screening benefit woman country hillary clinton secretary state,1
393,1988-10-13,george bush vice president,0
394,1988-10-13,believe must use clean safe nuclear power george bush vice president,0
395,1976-09-23,think greater oil gas production coal production nuclear production addition energy conservation gerald r ford president,0
